date,source_dataset,category,subcategory_problem,address,city,postal_code,latitude,longitude,council_district,in_downtown_cpa,status_disposition,responding_units,master_incident_id,narrative_comment
2021-01-05,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),HAZARD,Smoke Check,Sr-163 Sb Off Ramp,SAN DIEGO,92101,32.725278,-117.156389,3,False,1-CALL COMPLETE,E5,FS21002631,Homeless encampment fire in enclosed fire pit. Extinguished.; STATES SHE SAW SMOKE FROM A HOMELESS ENCAMPMENT
2021-01-05,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Rubbish Fire,05th Ave & E St,SAN DIEGO,92101,32.71465,-117.160153,3,True,1-CALL COMPLETE,E201,FS21002736,HOMELESS MALE STARTING A PILE OF TRASH ON FIRE ON THE GROUND
2021-01-06,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Rubbish Fire,National Ave & Interstate 15 Nb On Ramp,SAN DIEGO,92113,32.695986,-117.120383,9,False,1-CALL COMPLETE,E19,FS21003028,homeless encampment fire
2021-01-06,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),HAZARD,Smoke Check,AVENIDA DEL RIO & CAMINO DE LA REINA,SAN DIEGO,92108,32.765836,-117.16415,7,False,1-CALL COMPLETE,E8,FS21003038,COOKING ENCAMPMENT FIRE. NO DAMAGE TO BUILDINGS. FIRE EXTINGUISHED
2021-01-06,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Vegetation Initial Attack,I-8 EB,SAN DIEGO,92108,32.760805,-117.168125,7,False,1-CALL COMPLETE,E20; E5; E8,FS21003058,E8 ats - light smoke showing from underspass - possle cooking fore - encampment [homeless encampment] E8 Investigating; E8 Update - mattress - encampment - E8 ats with E20; ENCAMPMENT FIRE UNDER 8 FREEWAY. NO STRUCTURES DAMAGED. ZERO PROPERTY LOSS
2021-01-06,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Rubbish Fire,15th St & Market St,SAN DIEGO,92101,32.711525,-117.150361,3,True,1-CALL COMPLETE,E11,FS21003293,"per rp, possible encampment fire - per rp, the people here carry weapons and are violent"
2021-01-07,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Vegetation Initial Attack,I-5 SB OFF RAMP,SAN DIEGO,92101,32.722833,-117.149728,3,False,1-CALL COMPLETE,E11,FS21003441,PD RESP - POSS HOMELESS ENCAMPMENT FIRE
2021-01-07,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Rubbish Fire,3064 NATIONAL AVE,SAN DIEGO,92113,32.695955,-117.128041,8,False,1-CALL COMPLETE,E19; Inv67; Inv69,FS21003698,"PER CHP - TRANSIENT STARTING FIRE, NFI"
2021-01-02,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Rubbish Fire,17th St & Island Ave,SAN DIEGO,92101,32.710455,-117.148549,3,True,1-CALL COMPLETE,E11,FS21004274,homeless encampment; TRASH  NEAR HOMELESS ENCAMPMENT  ON FIRE
2021-01-02,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Rubbish Fire,Camino De La Reina & Qualcomm Way,SAN DIEGO,92108,32.771866,-117.140138,7,False,1-CALL COMPLETE,E45,FS21004430,HOMELESS MAN APPEARS TO BE LIGHTING PAPER ON FIRE; RP SEES HOMELESS MAN STARTING A FIRE ON THE SIDE WALK NEAR THE CORNER
2021-01-02,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Illegal Burn,4494 Calle De Vida,SAN DIEGO,92124,32.826404,-117.086039,7,False,1-CALL COMPLETE,E28,FS21004688,RP SEES  HOMELESS ENCAMPMENT -POSS ILLEGAL BURN
2021-01-02,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Illegal Burn,1703 Via Encantadoras,SAN DIEGO,92173,32.56503,-117.061425,8,False,1-CALL COMPLETE,E30,FS21004808,"EMPTY LOT NEXT TO HOUSE, HOMELESS WOMAN STARTING A WARMING FIRE BURNIG WOOD."
2021-01-02,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Illegal Burn,575 28th St,SAN DIEGO,92102,32.711389,-117.133889,8,False,1-CALL COMPLETE,E11,FS21004874,RP REPORTING A HOMELESS MALE SITTING ON A COUCH WITH A POSSIBLE WARMING FIRE NEXT TO HIM
2021-01-02,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),HAZARD,Smoke Check,I-805 Nb,CHULA VISTA,91910,32.648305,-117.061186,,False,1-CALL COMPLETE,CVE51,CV21000785,"CVE51 NO OBVIOUS SMOKE IN AREA , LIGHHT HAZE OR FOG, HOMELESS ENCAMPMENT IN THE AREA , CONT RESPONSE"
