block_id,neighborhood_source,lon,lat,area,st_north,st_east,st_south,st_west,dates_nonzero,mean_persons,max_persons,total_persons,persistence,in_panel_261,latest_individuals,latest_tents_structures,latest_vehicles,latest_persons_adj,donor_in_block,nearest_donor_m,donor_within_200m,donor_within_400m,donor_within_800m,shelter_in_block,nearest_shelter_m,shelter_within_200m,shelter_within_400m,shelter_within_800m,foodsite_in_block,nearest_foodsite_m,foodsite_within_200m,foodsite_within_400m,foodsite_within_800m,restaurant_within_200m,restaurant_within_400m,restaurant_within_800m,restaurant_in_block,nearest_restaurant_m,unserved_need,supply_within_400m
06TH_AV_BEECH_ST,Cortez,-117.1597464,32.7204162,Cortez,BEECH_ST,06TH_AV,ASH_ST,05TH_AV,2.0,0.25,2.0,3.0,0.1666666666666666,True,0,0.0,0,0.0,0,469.9,0,0,6,0,164.5,1,1,3,0,176.6,1,2,4,0,0,0,0,,0.0,0
05TH_AV_BEECH_ST,Cortez,-117.1606585,32.7204177,Cortez,BEECH_ST,05TH_AV,ASH_ST,04TH_AV,3.0,1.5208333333333333,16.25,18.25,0.25,True,0,0.0,0,0.0,0,481.9,0,0,7,0,79.3,1,1,3,0,102.0,1,2,4,0,0,0,0,,0.0,0
04TH_AV_CEDAR_ST,Cortez,-117.1615802,32.7214559,Cortez,CEDAR_ST,04TH_AV,BEECH_ST,03RD_AV,8.0,2.5883333333333334,8.03,31.06,0.6666666666666666,True,6,0.0,0,6.0,0,616.7,0,0,7,0,106.7,1,2,3,1,51.3,2,3,4,0,0,0,0,,0.0,0
04TH_AV_I-5_SB,Cortez,-117.1616025,32.7222703,Cortez,I-5_SB,04TH_AV,CEDAR_ST,03RD_AV,1.0,0.315,3.78,3.78,0.0833333333333333,True,0,0.0,0,0.0,0,703.9,0,0,4,0,197.3,1,2,2,0,89.6,2,4,4,0,0,0,0,,0.0,0
03RD_AV_BEECH_ST,Cortez,-117.1624858,32.7204129,Cortez,BEECH_ST,03RD_AV,ASH_ST,02ND_AV,5.0,0.5625,2.0,6.75,0.4166666666666667,True,0,0.0,0,0.0,0,546.0,0,0,7,0,92.8,1,1,3,0,113.1,1,2,4,0,0,0,0,,0.0,0
02ND_AV_BEECH_ST,Cortez,-117.1633936,32.7204076,Cortez,BEECH_ST,02ND_AV,ASH_ST,01ST_AV,8.0,0.8958333333333334,2.0,10.75,0.6666666666666666,True,0,0.0,0,0.0,0,495.7,0,0,7,0,177.7,1,1,3,0,189.2,1,2,4,0,0,0,0,,0.0,0
03RD_AV_ASH_ST,Cortez,-117.162472,32.7193651,Cortez,ASH_ST,03RD_AV,A_ST,02ND_AV,11.0,4.609166666666667,15.0,55.31,0.9166666666666666,True,3,0.0,0,3.0,0,446.5,0,0,7,0,155.7,1,1,3,0,203.5,0,1,4,0,0,0,0,,0.0,0
07TH_AV_BEECH_ST,Cortez,-117.1588194,32.7204099,Cortez,BEECH_ST,07TH_AV,ASH_ST,06TH_AV,4.0,0.4166666666666667,2.0,5.0,0.3333333333333333,True,0,0.0,0,0.0,0,473.0,0,0,5,0,251.3,0,1,3,0,259.5,0,2,4,0,0,0,0,,0.0,0
09TH_AV_DATE_ST,Cortez,-117.1570188,32.722482,Cortez,DATE_ST,09TH_AV,CEDAR_ST,08TH_AV,1.0,0.1666666666666666,2.0,2.0,0.0833333333333333,True,0,0.0,0,0.0,0,736.9,0,0,1,0,474.2,0,0,2,0,395.8,0,1,4,0,0,0,0,,0.0,0
01ST_AV_I-5_SB,Cortez,-117.1643142,32.7227731,Cortez,I-5_SB,01ST_AV,W_CEDAR_ST,FRONT_ST,2.0,1.5416666666666667,17.5,18.5,0.1666666666666666,True,0,0.0,0,0.0,0,683.5,0,0,2,0,289.7,0,2,2,0,292.8,0,4,4,0,0,0,0,,0.0,0
SR-163_NB_ON_RA_ASH_ST,Cortez,-117.1552592,32.7193915,Cortez,ASH_ST,SR-163_NB_ON_RA,A_ST,10TH_AV,2.0,0.5416666666666666,3.75,6.5,0.1666666666666666,True,1,1.0,0,2.75,0,532.9,0,0,4,0,594.5,0,0,2,0,611.3,0,0,4,0,0,0,0,,0.5416666666666666,0
10TH_AV_ASH_ST,Cortez,-117.156102,32.7193903,Cortez,ASH_ST,10TH_AV,A_ST,09TH_AV,2.0,0.4166666666666667,4.0,5.0,0.1666666666666666,True,0,0.0,0,0.0,0,476.9,0,0,4,0,520.5,0,0,3,0,536.4,0,0,5,0,0,0,0,,0.4166666666666667,0
05TH_AV_I-5_SB,Cortez,-117.1606357,32.7222727,Cortez,I-5_SB,05TH_AV,CEDAR_ST,04TH_AV,4.0,0.6458333333333334,4.0,7.75,0.3333333333333333,True,1,0.0,0,1.0,0,684.3,0,0,3,0,213.3,0,2,2,0,96.7,2,3,4,0,0,0,0,,0.0,0
02ND_AV_ASH_ST,Cortez,-117.1634028,32.7193655,Cortez,ASH_ST,02ND_AV,A_ST,01ST_AV,4.0,0.3333333333333333,1.0,4.0,0.3333333333333333,True,0,0.0,0,0.0,0,413.0,0,0,7,0,218.4,0,1,3,0,254.7,0,1,4,0,0,0,0,,0.0,0
01ST_AV_W_ASH_ST,Cortez,-117.1642985,32.7193598,Cortez,W_ASH_ST,01ST_AV,W_A_ST,FRONT_ST,2.0,0.1666666666666666,1.0,2.0,0.1666666666666666,True,0,0.0,0,0.0,0,352.0,0,1,8,0,291.2,0,1,3,0,319.4,0,1,4,0,0,0,0,,0.0,1
10TH_AV_DATE_ST,Cortez,-117.1561138,32.7224867,Cortez,DATE_ST,10TH_AV,CEDAR_ST,09TH_AV,2.0,0.2525,2.03,3.03,0.1666666666666666,True,0,0.0,0,0.0,0,768.4,0,0,1,0,550.8,0,0,2,0,479.8,0,0,4,0,0,0,0,,0.2525,0
10TH_AV_CEDAR_ST,Cortez,-117.1561651,32.7214876,Cortez,CEDAR_ST,10TH_AV,BEECH_ST,09TH_AV,2.0,0.2291666666666666,1.75,2.75,0.1666666666666666,True,0,0.0,0,0.0,0,666.4,0,0,2,0,511.6,0,0,3,0,500.7,0,0,4,0,0,0,0,,0.2291666666666666,0
09TH_AV_CEDAR_ST,Cortez,-117.1570136,32.7214682,Cortez,CEDAR_ST,09TH_AV,BEECH_ST,08TH_AV,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0,0.0,0,631.0,0,0,3,0,433.8,0,0,3,0,423.4,0,0,4,0,0,0,0,,0.0,0
10TH_AV_BEECH_ST,Cortez,-117.1561276,32.7204857,Cortez,BEECH_ST,10TH_AV,SR-163_SB_OFF_RA,09TH_AV,1.0,0.0833333333333333,1.0,1.0,0.0833333333333333,True,0,0.0,0,0.0,0,572.2,0,0,4,0,503.2,0,0,3,0,506.4,0,0,3,0,0,0,0,,0.0833333333333333,0
04TH_AV_BEECH_ST,Cortez,-117.1615763,32.7204154,Cortez,BEECH_ST,04TH_AV,ASH_ST,03RD_AV,8.0,4.291666666666667,16.0,51.5,0.6666666666666666,True,0,0.0,0,0.0,0,508.0,0,0,7,1,11.8,1,1,3,0,65.5,1,2,4,0,0,0,0,,0.0,0
04TH_AV_ASH_ST,Cortez,-117.1615803,32.719375,Cortez,ASH_ST,04TH_AV,A_ST,03RD_AV,4.0,0.9791666666666666,6.0,11.75,0.3333333333333333,True,0,0.0,0,0.0,0,403.6,0,0,7,0,125.5,1,1,3,0,181.1,1,1,5,0,0,0,0,,0.0,0
07TH_AV_ASH_ST,Cortez,-117.158832,32.7193765,Cortez,ASH_ST,07TH_AV,A_ST,06TH_AV,5.0,1.4166666666666667,5.0,17.0,0.4166666666666667,True,0,0.0,0,0.0,0,359.1,0,1,6,0,279.4,0,1,3,0,308.4,0,1,6,0,0,0,0,,0.0,1
09TH_AV_BEECH_ST,Cortez,-117.1570225,32.7204252,Cortez,BEECH_ST,09TH_AV,ASH_ST,08TH_AV,1.0,0.0833333333333333,1.0,1.0,0.0833333333333333,True,0,0.0,0,0.0,0,524.5,0,0,4,0,419.5,0,0,3,0,424.2,0,0,5,0,0,0,0,,0.0833333333333333,0
08TH_AV_BEECH_ST,Cortez,-117.1579315,32.7204208,Cortez,BEECH_ST,08TH_AV,ASH_ST,07TH_AV,4.0,0.6666666666666666,3.0,8.0,0.3333333333333333,True,0,0.0,0,0.0,0,492.3,0,0,5,0,334.4,0,1,3,0,340.4,0,1,5,0,0,0,0,,0.0,0
PARK_BL_RUSS_BL,City Center,-117.1542576,32.7191273,City Center,RUSS_BL,PARK_BL,A_ST,11TH_AV,1.0,0.0833333333333333,1.0,1.0,0.0833333333333333,True,0,0.0,0,0.0,0,589.3,0,0,4,0,624.5,0,0,3,0,708.5,0,0,4,0,0,0,0,,0.0833333333333333,0
05TH_AV_ASH_ST,Cortez,-117.1606493,32.7193752,Cortez,ASH_ST,05TH_AV,A_ST,04TH_AV,10.0,3.2916666666666665,6.0,39.5,0.8333333333333334,True,0,0.0,0,0.0,0,369.5,0,1,7,0,148.4,1,1,3,0,197.6,1,1,5,0,0,0,0,,0.0,1
