point_id,point_type,name,block_id,area,lat,lon,demand_value,demand_date,food_type,quantity_lbs,estimated_meals,available_from,available_until,frequency,data_status,source_file,notes
demand_CALIFORNIA_ST_W_ASH_ST,demand,CALIFORNIA_ST_W_ASH_ST,CALIFORNIA_ST_W_ASH_ST,Columbia,32.7177515,-117.1705567,1,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_CALIFORNIA_ST_W_BROADWAY,demand,CALIFORNIA_ST_W_BROADWAY,CALIFORNIA_ST_W_BROADWAY,Columbia,32.715156,-117.1705741,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_CESAR_E_CHAVEZ_PY_CROSBY_RD,demand,CESAR_E_CHAVEZ_PY_CROSBY_RD,CESAR_E_CHAVEZ_PY_CROSBY_RD,Outside Perimeter,32.6968752,-117.1502346,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_CESAR_E_CHAVEZ_PY_HARBOR_DR,demand,CESAR_E_CHAVEZ_PY_HARBOR_DR,CESAR_E_CHAVEZ_PY_HARBOR_DR,Outside Perimeter,32.6986333,-117.1499601,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_CESAR_E_CHAVEZ_PY_I-5_SB,demand,CESAR_E_CHAVEZ_PY_I-5_SB,CESAR_E_CHAVEZ_PY_I-5_SB,Outside Perimeter,32.7035033,-117.1465217,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_CESAR_E_CHAVEZ_PY_LOGAN_AV,demand,CESAR_E_CHAVEZ_PY_LOGAN_AV,CESAR_E_CHAVEZ_PY_LOGAN_AV,Outside Perimeter,32.7016458,-117.1455189,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_CESAR_E_CHAVEZ_PY_MAIN_ST,demand,CESAR_E_CHAVEZ_PY_MAIN_ST,CESAR_E_CHAVEZ_PY_MAIN_ST,Outside Perimeter,32.6992415,-117.1478554,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_CESAR_E_CHAVEZ_PY_NATIONAL_AV,demand,CESAR_E_CHAVEZ_PY_NATIONAL_AV,CESAR_E_CHAVEZ_PY_NATIONAL_AV,Outside Perimeter,32.7008405,-117.1462929,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_CESAR_E_CHAVEZ_PY_NEWTON_AV,demand,CESAR_E_CHAVEZ_PY_NEWTON_AV,CESAR_E_CHAVEZ_PY_NEWTON_AV,Outside Perimeter,32.7000337,-117.1470844,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_COLUMBIA_ST_W_ASH_ST,demand,COLUMBIA_ST_W_ASH_ST,COLUMBIA_ST_W_ASH_ST,Columbia,32.7193473,-117.1678351,2,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
