block_id,area,cross_streets,lon,lat,historical_mean,latest_people,historical_max,dates_nonzero,persistence,latest_date
10TH_AV_G_ST,East Village,10TH_AV & G_ST,-117.1560204,32.7120547,3.75,1.0,13.0,9,0.75,2025-01-31
13TH_ST_IMPERIAL_AV,East Village,13TH_ST & IMPERIAL_AV,-117.1529333,32.7061363,3.67,10.0,29.0,3,0.25,2025-01-31
06TH_AV_K_ST,Gaslamp,06TH_AV & K_ST,-117.1596315,32.7077977,3.67,2.0,6.0,11,0.917,2025-01-31
03RD_AV_J_ST,Marina,03RD_AV & J_ST,-117.1623282,32.7084097,3.67,0.0,13.0,9,0.75,2025-01-31
PARK_BL_A_ST,City Center,PARK_BL & A_ST,-117.1542312,32.7183468,3.5,1.0,11.0,9,0.75,2025-01-31
06TH_AV_MARKET_ST,Gaslamp,06TH_AV & MARKET_ST,-117.1596713,32.7109659,3.42,3.0,12.0,10,0.833,2025-01-31
17TH_ST_F_ST,East Village,17TH_ST & F_ST,-117.1490065,32.7131541,3.42,1.0,20.0,11,0.917,2025-01-31
FRONT_ST_W_ASH_ST,Cortez,FRONT_ST & W_ASH_ST,-117.1651687,32.7193522,3.42,1.0,11.0,7,0.583,2025-01-31
13TH_ST_J_ST,East Village,13TH_ST & J_ST,-117.1532612,32.7088911,3.25,0.0,14.0,5,0.417,2025-01-31
11TH_AV_A_ST,City Center,11TH_AV & A_ST,-117.1551703,32.7183485,3.08,4.0,8.0,11,0.917,2025-01-31
05TH_AV_F_ST,Gaslamp,05TH_AV & F_ST,-117.1605939,32.7130875,3.0,2.0,6.0,12,1.0,2025-01-31
04TH_AV_A_ST,City Center,04TH_AV & A_ST,-117.161562,32.7183232,3.0,2.0,7.0,10,0.833,2025-01-31
05TH_AV_E_ST,Gaslamp,05TH_AV & E_ST,-117.1606053,32.7141324,3.0,2.0,7.0,10,0.833,2025-01-31
05TH_AV_ASH_ST,Cortez,05TH_AV & ASH_ST,-117.1606493,32.7193752,2.92,0.0,6.0,10,0.833,2025-01-31
04TH_AV_BEECH_ST,Cortez,04TH_AV & BEECH_ST,-117.1615763,32.7204154,2.92,0.0,10.0,8,0.667,2025-01-31
13TH_ST_G_ST,East Village,13TH_ST & G_ST,-117.1533019,32.7120729,2.92,0.0,10.0,7,0.583,2025-01-31
11TH_AV_BROADWAY,City Center,11TH_AV & BROADWAY,-117.1551477,32.715209,2.83,1.0,10.0,10,0.833,2025-01-31
I-5_SB_IMPERIAL_AV,East Village,I-5_SB & IMPERIAL_AV,-117.1479977,32.7057081,2.83,0.0,8.0,8,0.667,2025-01-31
06TH_AV_G_ST,Gaslamp,06TH_AV & G_ST,-117.1596875,32.7120348,2.75,3.0,4.0,12,1.0,2025-01-31
05TH_AV_MARKET_ST,Gaslamp,05TH_AV & MARKET_ST,-117.1605705,32.710951,2.67,3.0,7.0,11,0.917,2025-01-31
12TH_AV_PARK_BL,East Village,12TH_AV & PARK_BL,-117.1545023,32.7069832,2.5,1.0,12.0,8,0.667,2025-01-31
04TH_AV_C_ST,City Center,04TH_AV & C_ST,-117.1615429,32.7162311,2.5,0.0,16.0,6,0.5,2025-01-31
04TH_AV_CEDAR_ST,Cortez,04TH_AV & CEDAR_ST,-117.1615802,32.7214559,2.42,6.0,7.0,8,0.667,2025-01-31
13TH_ST_L_ST,East Village,13TH_ST & L_ST,-117.1532624,32.7068048,2.42,2.0,5.0,10,0.833,2025-01-31
06TH_AV_L_ST,Gaslamp,06TH_AV & L_ST,-117.1597181,32.7068019,2.33,2.0,6.0,11,0.917,2025-01-31
05TH_AV_G_ST,Gaslamp,05TH_AV & G_ST,-117.1605939,32.7120267,2.17,0.0,6.0,10,0.833,2025-01-31
I-5_SB_ON_RA_C_ST,East Village,I-5_SB_ON_RA & C_ST,-117.1483469,32.7162533,2.08,12.0,12.0,8,0.667,2025-01-31
07TH_AV_BROADWAY,City Center,07TH_AV & BROADWAY,-117.158807,32.7151884,1.92,3.0,15.0,5,0.417,2025-01-31
02ND_AV_ISLAND_AV,Marina,02ND_AV & ISLAND_AV,-117.1633191,32.7098806,1.92,0.0,8.0,7,0.583,2025-01-31
05TH_AV_C_ST,City Center,05TH_AV & C_ST,-117.1606236,32.7162302,1.83,1.0,5.0,10,0.833,2025-01-31
05TH_AV_ISLAND_AV,Gaslamp,05TH_AV & ISLAND_AV,-117.1605805,32.709901,1.83,1.0,7.0,8,0.667,2025-01-31
06TH_AV_A_ST,City Center,06TH_AV & A_ST,-117.1597219,32.7183308,1.83,1.0,9.0,6,0.5,2025-01-31
16TH_ST_BROADWAY,East Village,16TH_ST & BROADWAY,-117.149933,32.7152315,1.83,1.0,7.0,5,0.417,2025-01-31
10TH_AV_E_ST,East Village,10TH_AV & E_ST,-117.1560379,32.7141601,1.75,4.0,7.0,6,0.5,2025-01-31
06TH_AV_CEDAR_ST,Cortez,06TH_AV & CEDAR_ST,-117.1597531,32.7214606,1.75,2.0,7.0,5,0.417,2025-01-31
03RD_AV_G_ST,Marina,03RD_AV & G_ST,-117.1624121,32.7120133,1.75,0.0,4.0,8,0.667,2025-01-31
PARK_BL_MARKET_ST,East Village,PARK_BL & MARKET_ST,-117.1541961,32.7109863,1.67,1.0,4.0,10,0.833,2025-01-31
PARK_BL_BROADWAY,City Center,PARK_BL & BROADWAY,-117.1542276,32.7152116,1.67,1.0,7.0,9,0.75,2025-01-31
13TH_ST_F_ST,East Village,13TH_ST & F_ST,-117.1532985,32.7131305,1.67,1.0,7.0,7,0.583,2025-01-31
