block_id,area,cross_streets,lon,lat,historical_mean,latest_people,historical_max,dates_nonzero,persistence,latest_date
10TH_AV_ASH_ST,Cortez,10TH_AV & ASH_ST,-117.156102,32.7193903,0.42,0.0,4.0,2,0.167,2025-01-31
01ST_AV_W_A_ST,City Center,01ST_AV & W_A_ST,-117.1642723,32.7182995,0.33,3.0,3.0,2,0.167,2025-01-31
UNION_ST_W_B_ST,Columbia,UNION_ST & W_B_ST,-117.1660315,32.7172451,0.33,1.0,1.0,4,0.333,2025-01-31
FRONT_ST_W_MARKET_ST,Marina,FRONT_ST & W_MARKET_ST,-117.1662764,32.7106324,0.33,1.0,2.0,3,0.25,2025-01-31
02ND_AV_ASH_ST,Cortez,02ND_AV & ASH_ST,-117.1634028,32.7193655,0.33,0.0,1.0,4,0.333,2025-01-31
11TH_AV_J_ST,East Village,11TH_AV & J_ST,-117.1551036,32.7088789,0.33,0.0,2.0,3,0.25,2025-01-31
PARK_BL_ISLAND_AV,East Village,PARK_BL & ISLAND_AV,-117.1541784,32.7099239,0.33,0.0,2.0,3,0.25,2025-01-31
11TH_AV_F_ST,East Village,11TH_AV & F_ST,-117.1551366,32.7131258,0.33,0.0,3.0,2,0.167,2025-01-31
07TH_AV_CEDAR_ST,Cortez,07TH_AV & CEDAR_ST,-117.1588533,32.7214614,0.25,2.0,2.0,2,0.167,2025-01-31
FRONT_ST_W_F_ST,Marina,FRONT_ST & W_F_ST,-117.1651209,32.713051,0.25,1.0,2.0,2,0.167,2025-01-31
FRONT_ST_W_BROADWAY,City Center,FRONT_ST & W_BROADWAY,-117.1651688,32.7151745,0.25,0.0,1.0,3,0.25,2025-01-31
TONY_GWYNN_DR_K_ST,East Village,TONY_GWYNN_DR & K_ST,-117.1587374,32.7078133,0.25,0.0,1.0,3,0.25,2025-01-31
06TH_AV_BEECH_ST,Cortez,06TH_AV & BEECH_ST,-117.1597464,32.7204162,0.25,0.0,2.0,2,0.167,2025-01-31
13TH_ST_C_ST,East Village,13TH_ST & C_ST,-117.1533446,32.716262,0.25,0.0,2.0,2,0.167,2025-01-31
KETTNER_BL_W_BROADWAY,Columbia,KETTNER_BL & W_BROADWAY,-117.169627,32.7151597,0.25,0.0,2.0,2,0.167,2025-01-31
STATE_ST_W_A_ST,Columbia,STATE_ST & W_A_ST,-117.1669419,32.7182948,0.25,0.0,2.0,2,0.167,2025-01-31
I-5_SB_ON_RA_E_ST,East Village,I-5_SB_ON_RA & E_ST,-117.1484371,32.7141444,0.17,2.0,2.0,1,0.083,2025-01-31
02ND_AV_MARKET_ST,Marina,02ND_AV & MARKET_ST,-117.1633132,32.7109377,0.17,1.0,1.0,2,0.167,2025-01-31
08TH_AV_ISLAND_AV,East Village,08TH_AV & ISLAND_AV,-117.1578277,32.7099063,0.17,1.0,1.0,2,0.167,2025-01-31
COLUMBIA_ST_W_A_ST,Columbia,COLUMBIA_ST & W_A_ST,-117.1678202,32.7182872,0.17,1.0,1.0,2,0.167,2025-01-31
01ST_AV_W_ASH_ST,Cortez,01ST_AV & W_ASH_ST,-117.1642985,32.7193598,0.17,0.0,1.0,2,0.167,2025-01-31
01ST_AV_W_BROADWAY,City Center,01ST_AV & W_BROADWAY,-117.1642381,32.7151717,0.17,0.0,1.0,2,0.167,2025-01-31
08TH_AV_DATE_ST,Cortez,08TH_AV & DATE_ST,-117.1579578,32.7224837,0.17,0.0,1.0,2,0.167,2025-01-31
09TH_AV_ASH_ST,Cortez,09TH_AV & ASH_ST,-117.1569963,32.7193836,0.17,0.0,1.0,2,0.167,2025-01-31
10TH_AV_CEDAR_ST,Cortez,10TH_AV & CEDAR_ST,-117.1561651,32.7214876,0.17,0.0,1.0,2,0.167,2025-01-31
10TH_AV_DATE_ST,Cortez,10TH_AV & DATE_ST,-117.1561138,32.7224867,0.17,0.0,1.0,2,0.167,2025-01-31
17TH_ST_BROADWAY,East Village,17TH_ST & BROADWAY,-117.1490277,32.7152345,0.17,0.0,1.0,2,0.167,2025-01-31
KETTNER_BL_W_ASH_ST,Columbia,KETTNER_BL & W_ASH_ST,-117.169622,32.7193394,0.17,0.0,1.0,2,0.167,2025-01-31
NATIONAL_AV_IMPERIAL_AV,East Village,NATIONAL_AV & IMPERIAL_AV,-117.1537259,32.7057792,0.17,0.0,1.0,2,0.167,2025-01-31
PARK_BL_F_ST,East Village,PARK_BL & F_ST,-117.1542287,32.7131312,0.17,0.0,1.0,2,0.167,2025-01-31
UNION_ST_W_F_ST,Marina,UNION_ST & W_F_ST,-117.1660505,32.7130574,0.17,0.0,1.0,2,0.167,2025-01-31
04TH_AV_I-5_SB,Cortez,04TH_AV & I-5_SB,-117.1616025,32.7222703,0.17,0.0,2.0,1,0.083,2025-01-31
09TH_AV_DATE_ST,Cortez,09TH_AV & DATE_ST,-117.1570188,32.722482,0.17,0.0,2.0,1,0.083,2025-01-31
FRONT_ST_W_G_ST,Marina,FRONT_ST & W_G_ST,-117.1651522,32.7120098,0.17,0.0,2.0,1,0.083,2025-01-31
01ST_AV_W_CEDAR_ST,Cortez,01ST_AV & W_CEDAR_ST,-117.1643624,32.7214641,0.08,0.0,1.0,1,0.083,2025-01-31
08TH_AV_A_ST,City Center,08TH_AV & A_ST,-117.1579005,32.718341,0.08,0.0,1.0,1,0.083,2025-01-31
08TH_AV_CEDAR_ST,Cortez,08TH_AV & CEDAR_ST,-117.1579206,32.7214624,0.08,0.0,1.0,1,0.083,2025-01-31
09TH_AV_BEECH_ST,Cortez,09TH_AV & BEECH_ST,-117.1570225,32.7204252,0.08,0.0,1.0,1,0.083,2025-01-31
09TH_AV_MARKET_ST,East Village,09TH_AV & MARKET_ST,-117.1569277,32.7109735,0.08,0.0,1.0,1,0.083,2025-01-31
10TH_AV_BEECH_ST,Cortez,10TH_AV & BEECH_ST,-117.1561276,32.7204857,0.08,0.0,1.0,1,0.083,2025-01-31
CALIFORNIA_ST_W_BROADWAY,Columbia,CALIFORNIA_ST & W_BROADWAY,-117.1705741,32.715156,0.08,0.0,1.0,1,0.083,2025-01-31
FRONT_ST_W_E_ST,City Center,FRONT_ST & W_E_ST,-117.1651413,32.7140973,0.08,0.0,1.0,1,0.083,2025-01-31
I-5_SB_ON_RA_BROADWAY,East Village,I-5_SB_ON_RA & BROADWAY,-117.1481113,32.7148705,0.08,0.0,1.0,1,0.083,2025-01-31
PARK_BL_RUSS_BL,City Center,PARK_BL & RUSS_BL,-117.1542576,32.7191273,0.08,0.0,1.0,1,0.083,2025-01-31
UNION_ST_W_BROADWAY,Columbia,UNION_ST & W_BROADWAY,-117.1660291,32.715158,0.08,0.0,1.0,1,0.083,2025-01-31
UNION_ST_W_G_ST,Marina,UNION_ST & W_G_ST,-117.1660415,32.7120019,0.08,0.0,1.0,1,0.083,2025-01-31
01ST_AV_W_E_ST,City Center,01ST_AV & W_E_ST,-117.1642743,32.7141304,0.0,0.0,0.0,0,0.0,2025-01-31
01ST_AV_W_G_ST,Marina,01ST_AV & W_G_ST,-117.164258,32.7120086,0.0,0.0,0.0,0,0.0,2025-01-31
01ST_AV_W_MARKET_ST,Marina,01ST_AV & W_MARKET_ST,-117.164209,32.7109322,0.0,0.0,0.0,0,0.0,2025-01-31
09TH_AV_CEDAR_ST,Cortez,09TH_AV & CEDAR_ST,-117.1570136,32.7214682,0.0,0.0,0.0,0,0.0,2025-01-31
16TH_ST_C_ST,East Village,16TH_ST & C_ST,-117.1499595,32.7162861,0.0,0.0,0.0,0,0.0,2025-01-31
FRONT_ST_W_MARKET_ST__2,Marina,FRONT_ST & W_MARKET_ST,-117.1651491,32.7109428,0.0,0.0,0.0,0,0.0,2025-01-31
TONY_GWYNN_DR_L_ST,East Village,TONY_GWYNN_DR & L_ST,-117.1583317,32.7061663,0.0,0.0,0.0,0,0.0,2025-01-31
UNION_ST_W_E_ST,Marina,UNION_ST & W_E_ST,-117.1660529,32.7140915,0.0,0.0,0.0,0,0.0,2025-01-31
