agency_id,agency_name,program,mobile_capable,address,zip,phone,lon,lat,geocode_method,accepts_prepared,note,source_url,agency_type,role,downtown_relevant,is_synthetic_geocode,usable_for_routing,capacity_meals
agency_jacobs_cushman_san_diego_food_bank,Jacobs & Cushman San Diego Food Bank,Neighborhood Distribution Program,yes,9850 Distribution Ave,92121.0,858-863-5133,-117.1497,32.8853,approximate_manual,unknown,Runs the county's largest mobile/neighborhood distribution network,https://www.sandiegofoodbank.org/get-food/,mobile pantry operator,collects surplus and distributes on a route,True,False,True,
agency_feeding_san_diego,Feeding San Diego,Food Rescue / mobile distributions,yes,9477 Waples St Ste 100,92121.0,858-452-3663,-117.178,32.893,approximate_manual_demo_from_oscar_ui,yes,Explicitly accepts PREPARED food - the key Tier 2 partner,https://www.sandiego.gov/sites/default/files/2024-03/food-recovery-organization-list.pdf,mobile pantry operator,collects surplus and distributes on a route,True,True,True,
agency_feeding_san_diego_south_bay,Feeding San Diego (South Bay),Food Rescue / mobile distributions,yes,567 South 38th St,92113.0,858-452-3663,-117.104,32.6996,approximate_manual_demo_from_oscar_ui,yes,Closer to downtown than the Waples St site,https://www.sandiego.gov/sites/default/files/2024-03/food-recovery-organization-list.pdf,mobile pantry operator,collects surplus and distributes on a route,True,True,True,
agency_a_b_jones_co,A.B. Jones & Co.,Food recovery transportation service,yes,(no fixed site),,619-549-3587,,,NO_ADDRESS,unknown,Transport-only operator - moves food from businesses to nonprofits. Potential contracted route operator.,https://www.sandiego.gov/sites/default/files/2024-03/food-recovery-organization-list.pdf,mobile pantry operator,collects surplus and distributes on a route,True,False,False,
agency_catholic_charities_diocese_of_san_diego,Catholic Charities Diocese of San Diego,Food Resource Centers,unknown,4575 Mission Gorge Place,92120.0,619-323-2862,-117.0995,32.7846,approximate_manual_demo_from_oscar_ui,unknown,Operates multiple resource centers; mobile capability unconfirmed,https://www.sandiego.gov/sites/default/files/2024-03/food-recovery-organization-list.pdf,mobile pantry operator,collects surplus and distributes on a route,True,True,True,
