agency_name,program,mobile_capable,address,zip,phone,lon,lat,geocode_method,accepts_prepared,note,source_url,agency_type,role,downtown_relevant
Jacobs & Cushman San Diego Food Bank,Neighborhood Distribution Program,yes,9850 Distribution Ave,92121.0,858-863-5133,-117.1497,32.8853,approximate_manual,unknown,Runs the county's largest mobile/neighborhood distribution network,https://www.sandiegofoodbank.org/get-food/,mobile pantry operator,collects surplus and distributes on a route,True
Feeding San Diego,Food Rescue / mobile distributions,yes,9477 Waples St Ste 100,92121.0,858-452-3663,,,NEEDS_GEOCODE,yes,Explicitly accepts PREPARED food - the key Tier 2 partner,https://www.sandiego.gov/sites/default/files/2024-03/food-recovery-organization-list.pdf,mobile pantry operator,collects surplus and distributes on a route,True
Feeding San Diego (South Bay),Food Rescue / mobile distributions,yes,567 South 38th St,92113.0,858-452-3663,,,NEEDS_GEOCODE,yes,Closer to downtown than the Waples St site,https://www.sandiego.gov/sites/default/files/2024-03/food-recovery-organization-list.pdf,mobile pantry operator,collects surplus and distributes on a route,True
A.B. Jones & Co.,Food recovery transportation service,yes,(no fixed site),,619-549-3587,,,NO_ADDRESS,unknown,Transport-only operator - moves food from businesses to nonprofits. Potential contracted route operator.,https://www.sandiego.gov/sites/default/files/2024-03/food-recovery-organization-list.pdf,mobile pantry operator,collects surplus and distributes on a route,True
Catholic Charities Diocese of San Diego,Food Resource Centers,unknown,4575 Mission Gorge Place,92120.0,619-323-2862,,,NEEDS_GEOCODE,unknown,Operates multiple resource centers; mobile capability unconfirmed,https://www.sandiego.gov/sites/default/files/2024-03/food-recovery-organization-list.pdf,mobile pantry operator,collects surplus and distributes on a route,True
